행정구역,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율,2023년01월_총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율,2024년01월_총인구수,2024년01월_세대수,2024년01월_세대당 인구,2024년01월_남자 인구수,2024년01월_여자 인구수,2024년01월_남여 비율,2024년02월_총인구수,2024년02월_세대수,2024년02월_세대당 인구,2024년02월_남자 인구수,2024년02월_여자 인구수,2024년02월_남여 비율,total population,2024년03월_세대수,2024년03월_세대당 인구,2024년03월_남자 인구수,2024년03월_여자 인구수,2024년03월_남여 비율
pohang ,"497,546","232,428",2.14,"252,051","245,495",1.03,"497,197","232,411",2.14,"251,893","245,304",1.03,"496,650","232,371",2.14,"251,630","245,020",1.03,"496,052","232,329",2.14,"251,362","244,690",1.03,"495,229","232,471",2.13,"251,009","244,220",1.03,"494,452","232,547",2.13,"250,619","243,833",1.03,"493,914","232,590",2.12,"250,363","243,551",1.03,"493,817","232,939",2.12,"250,317","243,500",1.03,"493,665","233,091",2.12,"250,262","243,403",1.03,"493,561","233,308",2.12,"250,286","243,275",1.03,"493,261","233,413",2.11,"250,144","243,117",1.03,"493,102","233,509",2.11,"250,120","242,982",1.03,"492,941","233,619",2.11,"250,091","242,850",1.03,"492,936","233,742",2.11,"250,087","242,849",1.03,"493,033","233,932",2.11,"250,242","242,791",1.03,"492,949","234,088",2.11,"250,223","242,726",1.03,"492,663","234,349",2.1,"250,146","242,517",1.03,"492,342","234,730",2.1,"250,023","242,319",1.03
경상북도 경상북도 포항시 남구 (4711100000),"228,001","109,586",2.08,"118,091","109,910",1.07,"227,770","109,530",2.08,"117,941","109,829",1.07,"227,486","109,532",2.08,"117,785","109,701",1.07,"227,276","109,583",2.07,"117,704","109,572",1.07,"226,956","109,654",2.07,"117,596","109,360",1.08,"226,635","109,704",2.07,"117,439","109,196",1.08,"226,446","109,754",2.06,"117,356","109,090",1.08,"226,660","110,100",2.06,"117,473","109,187",1.08,"226,728","110,282",2.06,"117,546","109,182",1.08,"226,791","110,482",2.05,"117,629","109,162",1.08,"226,685","110,538",2.05,"117,556","109,129",1.08,"226,578","110,576",2.05,"117,524","109,054",1.08,"226,500","110,616",2.05,"117,529","108,971",1.08,"226,357","110,635",2.05,"117,481","108,876",1.08,"226,278","110,639",2.05,"117,509","108,769",1.08,"226,165","110,699",2.04,"117,480","108,685",1.08,"226,082","110,827",2.04,"117,470","108,612",1.08,"225,520","110,809",2.04,"117,182","108,338",1.08
경상북도 포항시 남구 구룡포읍(4711125000),"7,127","4,481",1.59,"3,600","3,527",1.02,"7,096","4,459",1.59,"3,581","3,515",1.02,"7,083","4,459",1.59,"3,571","3,512",1.02,"7,046","4,445",1.59,"3,553","3,493",1.02,"7,028","4,440",1.58,"3,545","3,483",1.02,"6,997","4,432",1.58,"3,536","3,461",1.02,"7,000","4,442",1.58,"3,543","3,457",1.02,"6,977","4,426",1.58,"3,533","3,444",1.03,"6,959","4,410",1.58,"3,522","3,437",1.02,"6,932","4,400",1.58,"3,511","3,421",1.03,"6,906","4,402",1.57,"3,494","3,412",1.02,"6,883","4,392",1.57,"3,484","3,399",1.03,"6,848","4,379",1.56,"3,462","3,386",1.02,"6,843","4,381",1.56,"3,458","3,385",1.02,"6,827","4,376",1.56,"3,454","3,373",1.02,"6,796","4,359",1.56,"3,433","3,363",1.02,"6,775","4,349",1.56,"3,421","3,354",1.02,"6,781","4,353",1.56,"3,418","3,363",1.02
경상북도 포항시 남구 연일읍(4711125300),"29,838","12,410",2.4,"15,157","14,681",1.03,"29,838","12,416",2.4,"15,158","14,680",1.03,"29,834","12,424",2.4,"15,158","14,676",1.03,"29,799","12,425",2.4,"15,133","14,666",1.03,"29,710","12,434",2.39,"15,090","14,620",1.03,"29,660","12,441",2.38,"15,062","14,598",1.03,"29,628","12,449",2.38,"15,051","14,577",1.03,"29,512","12,435",2.37,"14,967","14,545",1.03,"29,463","12,426",2.37,"14,962","14,501",1.03,"29,448","12,435",2.37,"14,946","14,502",1.03,"29,345","12,401",2.37,"14,894","14,451",1.03,"29,290","12,397",2.36,"14,867","14,423",1.03,"29,254","12,390",2.36,"14,859","14,395",1.03,"29,195","12,382",2.36,"14,837","14,358",1.03,"29,134","12,363",2.36,"14,805","14,329",1.03,"29,119","12,378",2.35,"14,795","14,324",1.03,"29,044","12,371",2.35,"14,770","14,274",1.03,"28,915","12,339",2.34,"14,707","14,208",1.04
경상북도 포항시 남구 오천읍(4711125600),"55,966","26,464",2.11,"29,977","25,989",1.15,"55,892","26,468",2.11,"29,963","25,929",1.16,"55,864","26,491",2.11,"29,959","25,905",1.16,"55,823","26,484",2.11,"29,947","25,876",1.16,"55,756","26,484",2.11,"29,902","25,854",1.16,"55,698","26,497",2.1,"29,875","25,823",1.16,"55,639","26,476",2.1,"29,844","25,795",1.16,"56,345","26,903",2.09,"30,205","26,140",1.16,"56,676","27,111",2.09,"30,397","26,279",1.16,"56,955","27,277",2.09,"30,543","26,412",1.16,"57,140","27,387",2.09,"30,635","26,505",1.16,"57,302","27,490",2.08,"30,734","26,568",1.16,"57,452","27,628",2.08,"30,852","26,600",1.16,"57,565","27,694",2.08,"30,911","26,654",1.16,"57,679","27,754",2.08,"30,992","26,687",1.16,"57,698","27,817",2.07,"31,011","26,687",1.16,"57,714","27,861",2.07,"31,026","26,688",1.16,"57,623","27,863",2.07,"31,001","26,622",1.16
경상북도 포항시 남구 대송면(4711131000),"3,336","1,916",1.74,"1,735","1,601",1.08,"3,328","1,916",1.74,"1,731","1,597",1.08,"3,326","1,923",1.73,"1,731","1,595",1.09,"3,314","1,919",1.73,"1,729","1,585",1.09,"3,307","1,916",1.73,"1,723","1,584",1.09,"3,292","1,906",1.73,"1,712","1,580",1.08,"3,280","1,905",1.72,"1,710","1,570",1.09,"3,271","1,903",1.72,"1,702","1,569",1.08,"3,265","1,902",1.72,"1,698","1,567",1.08,"3,247","1,901",1.71,"1,694","1,553",1.09,"3,242","1,900",1.71,"1,691","1,551",1.09,"3,246","1,903",1.71,"1,694","1,552",1.09,"3,231","1,894",1.71,"1,680","1,551",1.08,"3,228","1,896",1.7,"1,675","1,553",1.08,"3,220","1,893",1.7,"1,670","1,550",1.08,"3,209","1,889",1.7,"1,667","1,542",1.08,"3,203","1,885",1.7,"1,664","1,539",1.08,"3,190","1,877",1.7,"1,657","1,533",1.08
경상북도 포항시 남구 동해면(4711132000),"9,711","4,793",2.03,"4,881","4,830",1.01,"9,725","4,799",2.03,"4,891","4,834",1.01,"9,695","4,792",2.02,"4,880","4,815",1.01,"9,704","4,800",2.02,"4,888","4,816",1.01,"9,715","4,815",2.02,"4,896","4,819",1.02,"9,688","4,806",2.02,"4,891","4,797",1.02,"9,672","4,812",2.01,"4,885","4,787",1.02,"9,604","4,798",2,"4,855","4,749",1.02,"9,552","4,789",1.99,"4,833","4,719",1.02,"9,545","4,787",1.99,"4,830","4,715",1.02,"9,536","4,793",1.99,"4,825","4,711",1.02,"9,507","4,785",1.99,"4,811","4,696",1.02,"9,485","4,787",1.98,"4,797","4,688",1.02,"9,485","4,800",1.98,"4,798","4,687",1.02,"9,503","4,816",1.97,"4,804","4,699",1.02,"9,513","4,821",1.97,"4,803","4,710",1.02,"9,463","4,823",1.96,"4,773","4,690",1.02,"9,446","4,820",1.96,"4,772","4,674",1.02
경상북도 포항시 남구 장기면(4711133000),"3,985","2,429",1.64,"1,955","2,030",0.96,"3,982","2,432",1.64,"1,951","2,031",0.96,"3,955","2,421",1.63,"1,933","2,022",0.96,"3,930","2,411",1.63,"1,916","2,014",0.95,"3,947","2,418",1.63,"1,926","2,021",0.95,"3,930","2,416",1.63,"1,926","2,004",0.96,"3,916","2,411",1.62,"1,920","1,996",0.96,"3,899","2,403",1.62,"1,914","1,985",0.96,"3,884","2,401",1.62,"1,903","1,981",0.96,"3,888","2,412",1.61,"1,903","1,985",0.96,"3,887","2,407",1.61,"1,904","1,983",0.96,"3,880","2,406",1.61,"1,903","1,977",0.96,"3,877","2,405",1.61,"1,907","1,970",0.97,"3,874","2,400",1.61,"1,902","1,972",0.96,"3,861","2,399",1.61,"1,894","1,967",0.96,"3,857","2,397",1.61,"1,888","1,969",0.96,"3,845","2,391",1.61,"1,886","1,959",0.96,"3,832","2,394",1.6,"1,883","1,949",0.97
경상북도 포항시 남구 호미곶면(4711135000),"1,801","1,142",1.58,882,919,0.96,"1,799","1,142",1.58,881,918,0.96,"1,790","1,148",1.56,873,917,0.95,"1,782","1,144",1.56,868,914,0.95,"1,773","1,139",1.56,861,912,0.94,"1,768","1,138",1.55,854,914,0.93,"1,764","1,140",1.55,854,910,0.94,"1,755","1,136",1.54,851,904,0.94,"1,743","1,131",1.54,850,893,0.95,"1,744","1,130",1.54,849,895,0.95,"1,741","1,128",1.54,849,892,0.95,"1,738","1,126",1.54,846,892,0.95,"1,731","1,121",1.54,843,888,0.95,"1,722","1,116",1.54,839,883,0.95,"1,718","1,111",1.55,838,880,0.95,"1,713","1,103",1.55,834,879,0.95,"1,715","1,102",1.56,835,880,0.95,"1,708","1,097",1.56,831,877,0.95
경상북도 포항시 남구 상대동(4711152500),"24,405","13,665",1.79,"12,742","11,663",1.09,"24,449","13,718",1.78,"12,770","11,679",1.09,"24,404","13,729",1.78,"12,756","11,648",1.1,"24,396","13,733",1.78,"12,767","11,629",1.1,"24,394","13,757",1.77,"12,785","11,609",1.1,"24,374","13,764",1.77,"12,770","11,604",1.1,"24,367","13,782",1.77,"12,764","11,603",1.1,"24,328","13,778",1.77,"12,754","11,574",1.1,"24,291","13,771",1.76,"12,730","11,561",1.1,"24,256","13,786",1.76,"12,710","11,546",1.1,"24,171","13,769",1.76,"12,669","11,502",1.1,"24,104","13,754",1.75,"12,632","11,472",1.1,"24,033","13,722",1.75,"12,587","11,446",1.1,"23,995","13,732",1.75,"12,577","11,418",1.1,"23,954","13,735",1.74,"12,571","11,383",1.1,"23,913","13,731",1.74,"12,561","11,352",1.11,"23,911","13,757",1.74,"12,542","11,369",1.1,"23,825","13,753",1.73,"12,490","11,335",1.1
